kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
各,"each, every, either",カク; おのおの,"各位 (かくい·1) = everyone, ladies and gentlemen, attention media representatives (eg heading on a press release); 各自 (かくじ·1) = individual, each; 各 (おのおの·2) = each, every, either, respectively, severally",各自の部署に就け。,,各自 の 部署 に 就く,口 夂 攵,"警,驚,舌"
向,"yonder, facing, beyond, confront, defy, tend toward, approach","コウ; む.く, む.い, -む.き, む.ける, -む.け, む.かう, む.かい, む.こう, む.こう-, むこ, むか.い","あお向け (あおむけ·0) = face up; 傾向 (けいこう·0) = tendency, trend, inclination; 後向き (うしろむき·0) = back facing, turning one's back to; 向き (むき·1) = direction, orientation, aspect, situation, exposure, suitability, tendency; 向こう (むこう·2,0) = opposite side, other side, opposite direction, over there, that way, far away, beyond, the other party, the other person, future (starting now)",向こうへ行け！,,向こう へ 行く,口 冂,"尚,高,過"
君,"old boy, name-suffix","クン; きみ, -ぎみ","諸君 (しょくん·1) = Gentlemen!, Ladies!",うん、君は？,,うん 君(きみ) は,一 口 ノ ヨ,"郡,右,群"
告,"revelation, tell, inform, announce",コク; つ.げる,"警告 (けいこく·0) = warning, advice; 原告 (げんこく·0) = plaintiff, accuser, prosecutor; 広告 (こうこく·0) = advertisement; 告げる (つげる·0) = to inform; 告訴 (こくそ·1) = accusation, complaint",警告ありがとう。,,警告 有り難う,ノ 口 土,"酷,造,皓"
周,"circumference, circuit, lap",シュウ; まわ.り,"周 (ぐるり·1) = surroundings; 周囲 (しゅうい·1) = surroundings, environs, circumference; 周期 (しゅうき·1) = cycle, period; 周辺 (しゅうへん·0) = circumference, outskirts, around, in the area of",僕は周りを見回した。,,僕(ぼく) は 周り を 見回す,口 土 冂,"週,調,彫"
命,"fate, command, decree, destiny, life, appoint","メイ, ミョウ; いのち","運命 (うんめい·1) = fate; 革命 (かくめい·0) = revolution, 58th year of the sexagenary cycle (in onmyou-dou); 使命 (しめい·1) = mission, errand, message; 寿命 (じゅみょう·0) = life span",一生懸命働いた。,,一生懸命 働く,口 个 卩 一,"含,吟,令"
和,"harmony, Japanese style, peace, soften, Japan","ワ, オ, カ; やわ.らぐ, やわ.らげる, なご.む, なご.やか","英和 (えいわ·0) = English-Japanese (eg dictionary); 緩和 (かんわ·0) = relief, mitigation; 講和 (こうわ·0) = peace, conclude peace; 昭和 (しょうわ·0,1) = Showa era (1926.12.25-1989.1.7); 中和 (ちゅうわ·0) = neutralize, neutralise, counteract",愛と平和です。,,愛 と 平和 です,禾 口,"程,舌,税"
唱,"chant, recite, call upon, yell",ショウ; とな.える,"合唱 (がっしょう·0) = chorus, singing in a chorus; 首唱 (しゅしょう·0) = advocacy, promotion",女王様に万歳三唱。,,女(おんな) 王様 に 万歳三唱,口 日,"昭,舌,石"
商,"make a deal, selling, dealing in, merchant",ショウ; あきな.う,"商業 (しょうぎょう·1) = commerce, trade, business; 商社 (しょうしゃ·1) = trading company, firm; 商談 (しょうだん·0) = business discussion, negotiation; 商店 (しょうてん·1) = shop, business firm; 商売 (しょうばい·1) = trade, business, commerce, transaction, occupation",商売は商売。,,商売 は 商売,口 并 立 亠 儿 冂,"高,競,滴"
喜,"rejoice, take pleasure in","キ; よろこ.ぶ, よろこ.ばす","喜劇 (きげき·1) = comedy, funny show; 大喜び (おおよろこび·3) = great joy; 喜ばす (よろこばす·4) = to delight, to give pleasure",ええ、喜んで。,,ええ 喜んで,口 士 豆 并,"嬉,鼓,豆"
器,"utensil, vessel, receptacle, implement, instrument, ability, container, tool, set",キ; うつわ,"核兵器 (かくへいき·3) = nuclear weapons; 楽器 (がっき·0) = musical instrument; 器 (うつわ·0) = bowl, vessel, container, ability, capacity, calibre, caliber; 器官 (きかん·1,2) = organ (of body), instrument; 器具 (きぐ·1) = utensil",食器を洗おう。,,食器 を 洗う,口 大,"舌,石,奇"
囲,"surround, besiege, store, paling, enclosure, encircle, preserve, keep","イ; かこ.む, かこ.う, かこ.い","囲い (かこい·0) = enclosure, paling, storage; 囲う (かこう·0) = to enclose; 囲む (かこむ·0) = to surround, to encircle; 囲碁 (いご·1) = Go (board game of capturing territory); 周囲 (しゅうい·1) = surroundings, environs, circumference",赤丸で囲む。,,赤 丸(まる) で(#2028980) 囲む,囗 井,"口,困,団"
