kanji,meaning,readings,compounds,sentence,kana,translation,radicals,confusables
申,"have the honor to, sign of the monkey, 3-5PM, ninth sign of Chinese zodiac","シン; もう.す, もう.し-, さる","申込む (もうしこむ·4,0) = to apply for, to make an application, to propose (marriage), to challenge, to request (an interview), to book; 申し出る (もうしでる·4) = to report to, to tell, to suggest, to submit, to request, to make an offer, to come forward with information; 申し訳 (もうしわけ·0) = apology, excuse; 申す (もうす·1) = to be called, to say; 申請 (しんせい) = application, request",鈴木と申します。,,と 申す,｜ 日 田,"甲,由,迪"
畑,"farm, field, garden, one's specialty, (kokuji)","はた, はたけ, -ばたけ","畑 (はたけ·0) = field (non-rice), farm; 畑仕事 (はたしごと) = farm work, field work; 田畑 (たはた·1) = fields (for rice and other crops); 花畑 (はなばたけ·3) = flower garden; 麦畑 (むぎばたけ·3) = wheat field",ここは昔、畑だった。,,此処 は 昔 畑 だ,火 田,"炎,黄,魚"
番,"turn, number in a series",バン; つが.い,"一番 (いちばん·2,0) = best, first, number one, game, round, bout, fall, event (in a meet); 交番 (こうばん·0) = police box, alternation, alternating (eg current); 順番 (じゅんばん·0) = turn (in line), order of things, sequential order; 当番 (とうばん·1) = being on duty; 番号 (ばんごう·3) = number, series of digits",だれの番だ。,,誰 の 番(ばん) だ,田 釆 米,"審,藩,翻"
登,"ascend, climb up","トウ, ト, ドウ, ショウ, チョウ; のぼ.る, あ.がる","山登り (やまのぼり·3) = mountain climbing, mountaineering; 登記 (とうき·1) = registry, registration; 登校 (とうこう·0) = attendance (at school); 登山 (とざん·1,0) = mountain climbing; 登場 (とうじょう·0) = entry (on stage), appearance (on screen), entrance, introduction (into a market)",塀に登るな。,,塀 に 登る な,口 豆 并 癶,"澄,豆,痘"
的,"bull's eye, mark, target, object, adjective ending",テキ; まと,"楽観的 (らっかんてき·0) = optimistic, hopeful; 楽天的 (らくてんてき·0) = optimistic; 客観的 (きゃっかんてき·0) = objective; 具体的 (ぐたいてき·0) = concrete, tangible, definite, specific; 形式的 (けいしきてき·0) = formal",彼は内向的だ。,,彼(かれ) は 内向的 だ,白 丶 勹,"勺,釣,酌"
皮,"pelt, skin, hide, leather, skin radical (no. 107)",ヒ; かわ,"皮肉 (ひにく·(名)1,(名;形動)0) = cynicism, sarcasm, irony, satire; 皮フ (ひフ) = skin; 毛皮 (もうひ·1) = fur, skin, pelt",美は皮一重。,,美(び) は 皮 一重,又,"霞,桑,暇"
皿,"dish, a helping, plate",ベイ; さら,灰皿 (はいざら·0) = ashtray,灰皿を下さい。,,灰皿 を 下さい,,
直,"straightaway, honesty, frankness, fix, repair","チョク, ジキ, ジカ; ただ.ちに, なお.す, -なお.す, なお.る, なお.き, す.ぐ","見直す (みなおす·0,3) = to look again, to get a better opinion of; 思い直す (おもいなおす·5,0) = to re-think, to think back upon, to change one's mind; 持直す (もちなおす·4,0) = to recover, to rally, to improve, to pick up; 書き直す (かきなおす·4,0) = to write out, to make a fair copy, to rewrite; 垂直 (すいちょく·0) = vertical, perpendicular",かけ直すよ。,,掛け直す よ,十 目 ｜ 一,"置,値,購"
相,"inter-, mutual, together, each other, minister of state, councillor, aspect, phase, physiognomy","ソウ, ショウ; あい-","外相 (がいしょう·0) = Foreign Minister; 相図 (あいず·1) = sign, signal; 首相 (しゅしょう·0) = Prime Minister, Chancellor (Germany, Austria, etc.), Premier; 真相 (しんそう·0) = truth, real situation; 人相 (にんそう·1) = physiognomy, looks, countenance",相談し合う。,,相談 為る(する) 合う,木 目,"霜,植,査"
省,"focus, government ministry, conserve","セイ, ショウ; かえり.みる, はぶ.く","外務省 (がいむしょう·3) = Ministry of Foreign Affairs; 帰省 (きせい·0) = homecoming, returning home; 省みる (かえりみる·4) = to look back (eg over shoulder or at the past), to turn around, to review, to reflect, to reconsider, to consider (usu. used in negative), to concern oneself about; 省略 (しょうりゃく·0) = omission, abbreviation, abridgment, abridgement; 大蔵省 (おおくらしょう·4) = (former) Ministry of Finance (succeeded by zaimushou in 2000)",この単語を省きなさい。,,此の 単語 を 省く 為さい,ノ 小 目,"少,懸,頻"
矢,"dart, arrow",シ; や,"矢 (や·1) = arrow; 矢印 (やじるし·2) = arrow (symbol); 弓矢 (ゆみや·2) = bow and arrow; 矢先 (やさき·0,3) = arrowhead, brink, verge; 一矢 (いっし·1) = an arrow, a retort",矢は木をかすめた。,,矢 は 木(き) を 掠める,ノ 大 一 乞,"迭,年,央"
石,stone,"セキ, シャク, コク; いし","化石 (かせき·0) = fossil, petrifaction, fossilization, fossilisation; 磁石 (じしゃく·1) = magnet; 石けん (せっけん) = soap; 石炭 (せきたん·3) = coal; 石油 (せきゆ·0) = oil, petroleum, kerosene",橋は石造りだ。,,橋(はし) は 石造り だ,口,"舌,邑,足"
礼,"salute, bow, ceremony, thanks, remuneration","レイ, ライ","儀礼 (ぎれい·0) = etiquette, courtesy; 御礼 (おんれい·0,1) = thanking, expression of gratitude; 失礼 (しつれい·2) = discourtesy, impoliteness, Excuse me, Goodbye, to leave, to be rude; 朝礼 (ちょうれい·0) = morning assembly (company), pep talk; 無礼 (ぶれい·1,2) = impolite, rude",どうも失礼。,,どうも 失礼,乙,"犯,札,巴"
祝,"celebrate, congratulate","シュク, シュウ; いわ.う","祝い (いわい·2,0) = celebration, festival; 祝う (いわう·2) = to congratulate, to celebrate; 祝電 (しゅくでん·0) = congratulatory telegram; 祝日 (しゅくじつ·0) = national holiday; 祝福 (しゅくふく·0) = blessing",今日は祝日です。,,今日 は 祝日 です,口 礼 儿,"舌,石,競"
神,"gods, mind, soul","シン, ジン; かみ, かん-, こう-","安神 (あんしん·0) = relief, peace of mind; 神興 (みこし) = portable shrine (carried in festivals); 神 (かみ·1) = god; 神経 (しんけい·1) = nerve, sensitivity; 神社 (じんじゃ·1) = Shinto shrine",神はそうする。,,神(かみ) は 然う 為る(する),｜ 日 礼 田,"申,甲,由"
票,"ballot, label, ticket, sign",ヒョウ,"投票 (とうひょう·0) = voting, poll; 票 (ひょう·0) = label, ballot, ticket, sign",反対投票多数。,,反対 投票 多数,示 二 小 西,"漂,標,示"
祭,"ritual, offer prayers, celebrate, deify, enshrine, worship","サイ; まつ.る, まつ.り, まつり","冠婚葬祭 (かんこんそうさい·0) = important ceremonial occasions in family relationships; 祭り (まつり·0) = festival, feast",後の祭り。,,後の祭り,示 二 小 个 癶,"示,際,察"
福,"blessing, fortune, luck, wealth",フク,"幸福 (こうふく·0) = happiness, blessedness; 祝福 (しゅくふく·0) = blessing; 福祉 (ふくし·2,0) = welfare, social security, social service, well-being; 裕福 (ゆうふく·1,0) = affluence, prosperity",無知は幸福。,,無知 は 幸福,一 口 田 礼,"祐,幅,富"
科,"department, course, section",カ,"科 (か·1) = department, section, (taxonomical) family; 科学 (かがく·1) = science; 科学者 (かがくしゃ·2,3) = scientist; 外科 (げか·0) = surgical department; 学科 (がっか·0) = study subject, course of study",彼は科学者です。,,彼(かれ) は 科学者 です,禾 斗,"斜,香,稚"
秒,second (1/60 minute),ビョウ,"秒 (びょう·1) = second (60th min); 秒読み (びょうよみ·0) = countdown; 秒速 (びょうそく) = speed per second",陣痛が約４５秒続きます。,,陣痛 が 約 秒 続く,ノ 禾 小,"少,称,秀"
種,"species, kind, class, variety, seed","シュ; たね, -ぐさ","一種 (ひとくさ·2) = species, kind, variety; 種目 (しゅもく·0,1) = event, item of business; 種類 (しゅるい·1) = variety, kind, type, category, counter for different sorts of things; 人種 (じんしゅ·0) = race (of people); 品種 (ひんしゅ·0) = kind (of goods), brand, (taxonomical) form, breed, cultivar",苦は楽の種。,,苦 は 楽(らく) の 種(たね),｜ 禾 日 里 ノ,"昨,香,曲"
積,"volume, product (x*y), acreage, contents, pile up, stack, load, amass","セキ; つ.む, -づ.み, つ.もる, つ.もり","積み立て (つみたて·0) = savings; 積む (つむ·0) = to pile up, to stack, to load (car, ship, etc.), to pack; 積もり (つもり·0) = intention, plan, conviction, belief; 積る (つもる·2,0) = to pile up, to accumulate, to estimate; 積極的 (せっきょくてき·0) = positive, active, proactive",子供は積み木で遊ぶ。,,子供 は 積み木 で(#2028980) 遊ぶ(あそぶ),禾 貝 目 ハ 土 亠 二,"責,漬,債"
章,"badge, chapter, composition, poem, design",ショウ,"章 (しょう·1) = chapter, section, medal; 文章 (ぶんしょう·1) = sentence, article",彼は文章がうまい。,,彼(かれ) は 文章 が 上手い,音 十 日 立,"障,彰,辛"
童,"juvenile, child",ドウ; わらべ,"児童 (じどう·1) = children, juvenile; 童話 (どうわ·0) = fairy-tale",河童の川流れ。,,河童 の 川流れ,里 立,"鐘,瞳,憧"
競,"emulate, compete with, bid, sell at auction, bout, contest, race","キョウ, ケイ; きそ.う, せ.る","競う (きそう·2) = to compete with, to emulate; 競技 (きょうぎ·1) = game, match, contest; 競争 (きょうそう·0) = competition, contest, to compete; 競馬 (けいば·0) = horse racing; 競べる (くらべる·0) = to compare, to make a comparison, to compete, to vie",私は彼と競争した。,,私(わたし) は 彼(かれ) と 競争 為る(する),口 立 儿,"商,舌,石"
竹,bamboo,チク; たけ,"竹 (たけ·0) = bamboo, middle (of a three-tier ranking system); 竹林 (ちくりん) = bamboo grove",林に竹が目立つ。,,林 に 竹 が 目立つ,乞,"筆,笹,第"
笑,laugh,"ショウ; わら.う, え.む","苦笑い (にがわらい·3) = bitter smile; 笑い声 (わらいごえ·4) = laughter; 笑顔 (えがお·1) = smiling face, smile; 微笑 (びしょう·0) = smile",彼は笑った。,,彼(かれ) は 笑う,禾 竹 大 乞,"竹,筆,笹"
笛,"flute, clarinet, pipe, whistle, bagpipe, piccolo",テキ; ふえ,"汽笛 (きてき·0) = steam whistle; 口笛 (くちぶえ·0,3) = whistle; 笛 (ふえ·0) = flute, pipe, whistle",合図の笛がなった。,,合図 の 笛 が 鳴る,｜ 竹 日 田 乞,"申,甲,由"
第,"No., residence","ダイ, テイ","次第 (しだい·0) = dependent upon, as soon as, immediately (upon), circumstances, order, precedence, program, programme, agenda; 次第に (しだいに·0) = gradually (progress into a state), in sequence, in order, in turn; 第宅 (ていたく·0) = mansion, residence; 落第 (らくだい·0) = failure, dropping out of a class",君次第だよ。,,君(きみ) 次第 だ よ,弓 竹 乞,"竹,筆,笹"
筆,"writing brush, writing, painting brush, handwriting",ヒツ; ふで,"鉛筆 (えんぴつ·0) = pencil; 執筆 (しっぴつ·0) = writing; 随筆 (ずいひつ·0) = essays, miscellaneous writings; 筆 (ふで·0) = writing brush; 筆記 (ひっき·0) = (taking) notes, copying",彼は筆まめだ。,,彼(かれ) は 筆まめ だ,竹 聿 乞,"竹,笹,第"
等,"etc., and so forth, class (first), quality, equal, similar","トウ; ひと.しい, など, -ら","１等 (いっとう·0,3) = first-class, first-rank, A1, the most, the best; 何等 (なにら·1) = whatever, what, what sort of, any kind of, nothing whatever (with neg. verb); 均等 (きんとう·0) = equality, uniformity, evenness; 高等 (こうとう·0) = high class, high grade; 高等学校 (こうとうがっこう·5) = senior high school",彼等の数は多い。,,彼ら(かれら) 数(かず) は 多い,寸 竹 土 乞,"封,寺,符"
算,"calculate, divining, number, abacus, probability",サン; そろ,"換算 (かんざん·0) = conversion, change, exchange; 計算 (けいさん·0) = calculation, reckoning, count, forecast; 決算 (けっさん·1) = balance sheet, settlement of accounts; 採算 (さいさん·0) = profit; 算数 (さんすう·3) = arithmetic",ご破算にしよう。,,ご破算 に 為る(する),竹 目 廾 乞,"箱,竹,筆"
管,"pipe, tube, wind instrument, drunken talk",カン; くだ,"管轄 (かんかつ·0) = jurisdiction, control; 管理 (かんり·1) = control, management (eg of a business); 血管 (けっかん·0) = blood vessel; 保管 (ほかん·0) = charge, custody, safekeeping, deposit, storage; 管 (くだ·1) = pipe, tube",水道管が破裂した。,,水道管 が 破裂 為る(する),口 竹 宀 ｜ 乞,"官,中,棺"
箱,"box, chest, case, bin, railway car",ソウ; はこ,"箱 (はこ·0) = box, case; 本箱 (ほんばこ·1) = bookcase; ゴミ箱 (ゴミばこ) = garbage can, rubbish bin; 空き箱 (あきばこ·0) = empty box; 箱入り (はこいり·0) = boxed",この箱は上げ底だ。,,此の 箱 は 上げ底 だ,竹 木 目 乞,"相,算,竹"
節,"node, season, period, occasion, verse, clause, stanza, honor, joint, knuckle, knob, knot, tune, melody","セツ, セチ; ふし, -ぶし, のっと","関節 (かんせつ·0) = joints (knee joint, elbow joint, etc.); 季節 (きせつ·2,1) = season; 使節 (しせつ·2,1) = envoy, embassy, mission, delegate; 節 (せつ·1) = occasion, time, section (of a literary work), verse, stanza, node (of a plant stem), clause, (taxonomical) section; 節約 (せつやく·0) = economising, saving",猫にかつお節。,,猫(ねこ) に 鰹節,艮 竹 卩 乞,"即,良,範"
米,"rice, USA, metre","ベイ, マイ, メエトル; こめ, よね","新米 (しんまい·0) = new rice, novice, beginner, tyro, newcomer, newbie; 日米 (にちべい·1) = Japan-America; 米価 (べいか·1) = rice price",私は米国人です。,,私(わたし) は 米国人 です,,
粉,"flour, powder, dust","フン; デシメートル, こ, こな","小麦粉 (こむぎこ·0,3) = wheat flour; 粉 (こ·1) = flour, meal, powder; 粉末 (ふんまつ·0) = fine powder",それは粉薬です。,,其れ は 粉薬 です,刀 并 米 ハ,"分,初,八"
糸,thread,シ; いと,"糸 (いと·1) = thread, yarn, string; 毛糸 (けいと·0) = knitting wool; 繭糸 (きぬいと·0) = silk thread",この糸はすぐもつれる。,,此の 糸(いと) は 直ぐ 縺れる,幺 小,"緋,維,絶"
紀,"chronicle, account, narrative, history, annals, geologic period",キ,"紀元 (きげん·1) = era, AD (Christian era); 紀律 (きりつ·0) = order, observance, discipline, rules, law, regulations; 世紀 (せいき·1) = century, era",１世紀は１００年です。,,一世紀 は 年(ねん) です,糸 幺 小 已,"糸,緋,維"
約,"promise, approximately, shrink",ヤク,"解約 (かいやく·0) = cancellation of contract; 契約 (けいやく·0) = contract, compact, agreement; 倹約 (けんやく·0) = thrift, economy, frugality; 公約 (こうやく·0) = public commitment or promise; 婚約 (こんやく·0) = engagement, betrothal",約束は約束。,,約束 は 約束,糸 幺 小 丶 勹,"絢,糸,勺"
級,"class, rank, grade",キュウ,"階級 (かいきゅう·0) = class, rank, grade; 高級 (こうきゅう·0) = high class, high grade; 初級 (しょきゅう·0) = elementary level; 上級 (じょうきゅう·0) = advanced level, high grade, senior; 中級 (ちゅうきゅう·0) = intermediate level",彼は私の級友です。,,彼(かれ) は 私(わたし) 級友 です,ノ 糸 幺 小 及,"紗,系,孫"
細,"dainty, get thin, taper, slender, narrow","サイ; ほそ.い, ほそ.る, こま.か, こま.かい","細い (ほそい·2) = thin, slender, fine; 細かい (こまかい·3) = small, fine, minute, minor, trivial, sensitive, attentive; 細やか (ささやか·2) = meagre, meager, modest; 細菌 (さいきん·0) = bacillus, bacterium, germ; 細工 (さいく·0,3) = work, craftsmanship, tactics, trick",彼は繊細だ。,,彼(かれ) は 繊細 だ,糸 幺 小 田,"累,紳,紬"
組,"association, braid, plait, construct, assemble, unite, cooperate, grapple","ソ; く.む, くみ, -ぐみ","取組む (とっくむ·3,0) = to tackle, to wrestle with, to engage in a bout, to come to grips with, to make effort, to strive for; 乗組員 (のりくみいん·4) = crew; 組込む (くみこむ·3,0) = to insert, to include, to cut in (printing); 組む (くむ·1) = to put together",この番組見る？,,此の 番組 見る,一 糸 幺 小 目,"糸,且,給"
結,"tie, bind, contract, join, organize, do up hair, fasten","ケツ, ケチ; むす.ぶ, ゆ.う, ゆ.わえる","結び (むすび·0) = ending, conclusion, union; 結ぶ (むすぶ·0) = to tie, to bind, to link, to bear (fruit); 結果 (けっか·0,1) = result, consequence; 結核 (けっかく·0) = tuberculosis, tubercule; 結局 (けっきょく·(名)4,0,(副)0) = after all, eventually",結構面白い。,,結構 面白い,口 士 糸 幺 小,"緯,絹,絡"
給,"salary, wage, gift, allow, grant, bestow on","キュウ; たま.う, たも.う, -たま.え","給食 (きゅうしょく·0) = school lunch, providing a meal; 給与 (きゅうよ·1) = pay, salary, wages, allowance, grant, supply; 給料 (きゅうりょう·1) = salary, wages; 供給 (きょうきゅう·0) = supply, provision; 月給 (げっきゅう·0) = monthly salary",彼は高給者だ。,,彼(かれ) は 高給 者(しゃ) だ,口 糸 幺 小 个 一,"含,吟,綺"
絵,"picture, drawing, painting, sketch","カイ, エ","絵具 (えのぐ·0) = colors, colours, paints; 絵画 (かいが·1) = picture, painting; 絵本 (えほん·2) = picture book; 油絵 (あぶらえ·3) = oil painting; 絵葉書 (えはがき·2) = picture postcard",これは絵画だ。,,此れ は 絵画 だ,糸 幺 小 二 个 厶,"会,糸,示"
続,"continue, series, sequel","ゾク, ショク, コウ, キョウ; つづ.く, つづ.ける, つぐ.ない","継続 (けいぞく·0) = continuation; 持続 (じぞく·0) = continuation; 接続 (せつぞく·0) = connection, attachment, union, join, joint, link, changing trains, conjunction; 相続 (そうぞく·0,1) = succession, inheritance; 続出 (ぞくしゅつ·0) = appearance one after another",悪事続きだ。,,悪事 続き だ,士 糸 幺 小 儿 冖,"結,索,糸"
緑,green,"リョク, ロク; みどり","緑 (みどり·1) = green, greenery (esp. fresh verdure); 新緑 (しんりょく) = fresh greenery",丘はいつも緑だ。,,丘(おか) は 何時も 緑 だ,ヨ 糸 幺 小 水 隶,"縁,線,糸"
線,"line, track",セン; すじ,"沿線 (えんせん·0) = along railway line; 曲線 (きょくせん·0) = curve; 光線 (こうせん·0) = beam, light ray; 新幹線 (しんかんせん·3) = bullet train (very high speed), Shinkansen; 水平線 (すいへいせん·0) = horizon (related to sea or lakes)",下線部を訳せ。,,下線部 を 訳す,糸 幺 小 水 白,"綿,糸,泉"
練,"practice, gloss, train, drill, polish, refine","レン; ね.る, ね.り","未練 (みれん·1,0) = lingering affection, attachment, regret(s), reluctance; 練る (ねる·1) = to knead, to work over, to polish up (eg a plan), to drill, to train; 練習 (れんしゅう·0) = practice, practise",練習は熟達の道。,,練習 は 熟達 の 道(みち),｜ 糸 幺 小 日 ハ 木 田,"紳,紬,細"
置,"placement, put, set, deposit, leave behind, keep, employ, pawn","チ; お.く, -お.き","処置 (しょち·1) = treatment, measure, step; 設置 (せっち·0,1) = establishment, institution; 前置き (まえおき·0) = preface, introduction; 措置 (そち·1) = measure, step; 装置 (そうち·1) = equipment, installation, apparatus, device",それを下に置け。,,其れ を 下(した) に 置く,十 買 目 一 ｜,"直,値,干"
羊,sheep,ヨウ; ひつじ,羊毛 (ようもう·0) = wool,羊は何て鳴くの？,,羊 は 何て 鳴く の,王 并,"養,金,詳"
美,"beauty, beautiful","ビ, ミ; うつく.しい","美事 (みごと·1) = splendid, magnificent, beautiful, admirable, praiseworthy act, feat, commendable deed; 讃美 (さんび·1) = praise, adoration, glorification; 美 (び·1) = beauty; 美しい (うつくしい·4) = beautiful, lovely; 美化 (びか·1) = beautification, glorification",美は皮一重。,,美(び) は 皮 一重,王 大 并 羊,"僕,撲,羊"
羽,"feathers, counter for birds, rabbits","ウ; は, わ, はね","羽子 (はね·2) = feather, plume, wing, blade (fan, propeller, etc.); 羽ばたく (はばたく·3) = to flap (wings); 羽織 (はおり·0) = haori (Japanese formal coat); 羽 (ぱ·1) = counter for birds and rabbits",その鳥は羽を震わせた。,,其の 鳥 は 羽(はね) を 震わせる,冫,"次,准,冴"
老,"old man, old age, grow old","ロウ; お.いる, ふ.ける","敬老 (けいろう·0) = respect for the aged; 老いる (おいる·2) = to age, to grow old; 老後 (ろうご·0) = old age; 老人 (ろうじん·0) = the aged, old person; 老若 (ろうじゃく·0,1) = young and old, all ages",彼は年老いた。,,彼(かれ) は 年老いる,匕,"化,旨,尼"
育,"bring up, grow up, raise, rear","イク; そだ.つ, そだ.ち, そだ.てる, はぐく.む","育ち (そだち·3) = breeding, growth; 育つ (そだつ·2) = to be raised (eg child), to be brought up, to grow (up); 育児 (いくじ·1) = childcare, nursing, upbringing; 教育 (きょういく·0) = training, education; 飼育 (しいく·0) = breeding, raising, rearing",牛を飼育する。,,牛 を 飼育 為る(する),月 亠 厶,"撤,徹,衣"
胃,"stomach, paunch, crop, craw",イ,"胃 (い·0) = stomach; 胃腸 (いちょう·0) = stomach, gastrointestine",胃が痛みます。,,胃 が 痛む,月 田,"朋,膚,黄"
脈,"vein, pulse, hope",ミャク; すじ,"山脈 (やまなみ·0) = mountain range; 動脈 (どうみゃく·0) = artery; 文脈 (ぶんみゃく·0) = context; 脈 (みゃく·2) = pulse; 脈絡 (みゃくらく·0) = chain of reasoning, logical connection, coherence, context",脈が遅いです。,,脈 が 遅い です,斤 月 厂,"朋,派,励"
腸,"intestines, guts, bowels, viscera",チョウ; はらわた,"胃腸 (いちょう·0) = stomach, gastrointestine; 腸 (わた·2) = guts, bowels, intestines; 盲腸 (もうちょう·1) = appendix, caecum",浣腸をしました。,,浣腸 を 為る(する),一 月 日 勿,"胆,晋,旦"
臣,"retainer, subject","シン, ジン",総理大臣 (そうりだいじん·4) = Prime Minister; 大臣 (だいじん·1) = cabinet minister,彼は大臣を辞めた。,,彼(かれ) は 大臣 を 辞める,匚,"巨,枢,匹"
航,"navigate, sail, cruise, fly",コウ,"航海 (こうかい·1) = sail, voyage; 航空 (こうくう·0) = aviation, flying; 航空機 (こうくうき·3) = aircraft, aeroplane, airplane; 航空便 (こうくうびん·0,3) = air mail; 航路 (こうろ·1) = course, (sea) route, run",彼らは航海に出た。,,彼ら(かれら) は 航海 に 出る,舟 亠 几,"衣,亡,抗"
船,"ship, boat","セン; ふね, ふな-","汽船 (きせん·0) = steamship, steamboat, steamer; 漁船 (ぎょせん·0) = fishing boat; 船長 (せんちょう·1,0) = ship's captain; 船舶 (せんぱく·1) = ship; 船便 (ふなびん·0) = surface mail (ship)",乗船する。,,乗船 為る(する),口 舟 ハ,"呉,只,舌"
良,"good, pleasing, skilled","リョウ; よ.い, -よ.い, い.い, -い.い","改良 (かいりょう·0) = improvement, reform; 仲良く (なかよく) = making friends with, getting along well with, on cordial terms; 不良 (ふりょう·0) = badness, delinquent, inferiority, failure; 良好 (りょうこう·0) = favorable, favourable, satisfactory; 良心 (りょうしん·1) = conscience",良い休暇を。,,良い 休暇 を,艮,"限,郎,退"
芸,"technique, art, craft, performance, acting, trick, stunt","ゲイ, ウン; う.える, のり, わざ","園芸 (えんげい·0) = horticulture, gardening; 芸術 (げいじゅつ·0) = (fine) art, the arts; 芸能 (げいのう·0) = public entertainment, accomplishments, attainments; 工芸 (こうげい·0) = industrial arts; 文芸 (ぶんげい·0,1) = literature, art and literature, belles-lettres",芸は身を助く。,,芸 は 身(み) を 助く,二 厶 艾,"伝,会,雲"
芽,"bud, sprout, spear, germ",ガ; め,芽 (め·1) = sprout; 発芽 (はつが·0) = burgeoning,芽がでてきた。,,芽 が 出る 来る(くる),牙 艾,"雅,邪,菖"
苦,"suffering, trial, worry, hardship, feel bitter, scowl","ク; くる.しい, -ぐる.しい, くる.しむ, くる.しめる, にが.い, にが.る","ご苦労様 (ごくろうさま·2) = thank you very much for your ..., I appreciate your efforts; 苦い (にがい·2) = bitter; 苦しい (くるしい·3) = painful, difficult; 苦しみ (くるしみ·0,3) = pain, anguish, distress, suffering, hardship; 苦しむ (くるしむ·3) = to suffer, to groan, to be worried; 苦労 (くろう) = hardship, trouble",苦は楽の種。,,苦 は 楽(らく) の 種(たね),口 十 艾,"叶,古,噴"
草,"grass, weeds, herbs, pasture, write, draft","ソウ; くさ, くさ-, -ぐさ","雑草 (ざっそう·0) = weed; 草 (くさ·2) = grass; 草花 (そうか·1) = flower, flowering plant; 草原 (くさはら·0) = grass-covered plain, grasslands, meadows, savannah, prairie, steppe; 草履 (ぞうり·0) = zori (Japanese footwear sandals)",羊は草を食べる。,,羊 は 草(くさ) を 食べる,十 日 艾,"菖,汁,晶"
荷,"baggage, shoulder-pole load, bear (a burden), shoulder (a gun), load, cargo, freight",カ; に,"荷 (に·1,0) = load, baggage, cargo; 荷造り (にづくり·2) = packing, baling, crating; 荷物 (にもつ·1) = luggage, baggage, payload (of a packet, cell, etc.); 出荷 (しゅっか·0) = shipping, outgoing freight, forwarding; 入荷 (にゅうか·0) = arrival of goods, goods received",彼は重荷に喘いだ。,,彼(かれ) は 重荷 に 喘ぐ,化 口 亅 艾 一,"何,伺,司"
落,"fall, drop, come down","ラク; お.ちる, お.ち, お.とす","一段落 (ひとだんらく·3) = pause; 落ち入る (おちいる·3,0) = to fall, to trap, to cave in, to collapse; 見落す (みおとす·0,3) = to overlook, to fail to notice, to miss (seeing); 聚落 (じゅらく·1) = village, community, settlement, town, colony (animals, etc.); 堕落 (だらく·0) = depravity, corruption, degradation",落ちついて。,,落ちつく,口 汁 夂 艾,"藻,蕗,舌"
葉,"leaf, plane, lobe, needle, blade, spear, counter for flat things, fragment, piece",ヨウ; は,"言葉使い (ことばづかい·4) = speech, expression, wording; 木ノ葉 (きのは·1) = foliage, leaves of trees; 葉 (は·0) = leaf; 黄葉 (もみじ·1) = autumn colours, fall colors, leaves changing color (colour), leaves turning red, red leaves; 枝葉 (しよう·0,1) = leaves and branches, side issues, foliage",葉が落ちた。,,葉(は) が 落ちる,木 世 艾,"蝶,菓,樺"
虫,"insect, bug, temper","チュウ, キ; むし","害虫 (がいちゅう·0) = harmful insect, noxious insect; 昆虫 (こんちゅう·0) = insect, bug; 弱虫 (よわむし·2) = coward, weakling; 虫 (むし·0) = insect",虫がよすぎる。,,虫がよい 過ぎる(すぎる),,
血,blood,ケツ; ち,"血 (ち·0) = blood, consanguinity; 血圧 (けつあつ·0) = blood pressure; 血液 (けつえき·2) = blood; 血縁 (けつえん·0) = blood relative or relationship, consanguinity; 血管 (けっかん·0) = blood vessel",血液の循環。,,血液 の 循環,皿,"孟,衆,盟"
街,"boulevard, street, town","ガイ, カイ; まち","街頭 (がいとう·0) = in the street; 街道 (かいどう·0) = highway (esp. one existing from the Edo period), main road; 市街 (しがい·1) = urban areas, the streets, town, city; 街 (ちょう·2) = town, block, neighborhood, street, road, 109.09 m, 0.99 hectares; 街並 (まちなみ·0) = street (of stores and houses), townscape, (look of) stores and houses on street",街を見に行こう。,,街(まち) を 見に行く,行 土 彳,"行,圭,徒"
衣,"garment, clothes, dressing","イ, エ; ころも, きぬ, -ぎ","衣裳 (いしょう·1) = clothing, costume, outfit, garment, dress; 衣食住 (いしょくじゅう·3) = necessities of life (food, clothing and shelter); 衣服 (いふく·1) = clothes; 衣料 (いりょう·1) = clothing; 更衣室 (こういしつ·3) = locker room, changing room, dressing room",濡れ衣を着せられた。,,濡れ衣を着せる,亠,"亡,蛮,芝"
表,"surface, table, chart, diagram","ヒョウ; おもて, -おもて, あらわ.す, あらわ.れる, あら.わす","公表 (こうひょう·0) = official announcement, proclamation; 図表 (ずひょう·0) = chart, diagram, graph, figure; 代表 (だいひょう·0) = representative, representation, delegation, type, example, model; 発表 (はっぴょう·0) = announcement, publication; 表 (おもて·3) = surface, face (ie visible side of an object), front (of a building) of a coin etc",表か裏か。,,表(おもて) か 裏(うら) か,衣 士 土 二 亠,"俵,麦,装"
要,"need, main point, essence, pivot, key to",ヨウ; い.る,"強要 (きょうよう·0) = coercion, extortion; 主要 (しゅよう·0) = chief, main, principal, major; 需要 (じゅよう·0) = demand, request; 重要 (じゅうよう·0) = important, momentous, essential, principal, major; 不必要 (ふひつよう·3,2) = unnecessary",君が必要だ。,,君(きみ) が 必要 だ,女 西,"腰,茜,栗"
覚,"memorize, learn, remember, awake, sober up","カク; おぼ.える, さ.ます, さ.める, さと.る","覚え (おぼえ·3,2) = memory, sense, experience; 覚悟 (かくご·1,2) = resolution, resignation, readiness, preparedness; 感覚 (かんかく·0) = sense, sensation; 幻覚 (げんかく·0) = hallucination, illusion; 錯覚 (さっかく·0) = optical illusion, hallucination",覚えてる？,,覚える,見 尚 冖,"蛍,栄,学"
